isolate.assembly,isolate.id,coamox.mic,coamox.mic_numeric,location_category
59,OXEC-59,4.2,4.2,Both
53,OXEC-53,16.2,16.2,Not detected
21,OXEC-21,<=2.2,2.2,Both
238,OXEC-238,16.2,16.2,Both
528,OXEC-528,8.2,8.2,Both
71,OXEC-71,>32.2,32.2,Both
66,OXEC-66,8.2,8.2,Both
37,OXEC-37,32.2,32.2,Both
182,OXEC-182,8.2,8.2,Both
183,OXEC-183,32.2,32.2,Both
87,OXEC-87,8.2,8.2,Both
317,OXEC-317,>32.2,32.2,Both
237,OXEC-237,4.2,4.2,Both
6,OXEC-6,8.2,8.2,Both
297,OXEC-297,>32.2,32.2,Not detected
320,OXEC-320,32.2,32.2,Not detected
164,OXEC-164,16.2,16.2,Both
382,OXEC-382,8.2,8.2,Both
299,OXEC-299,4.2,4.2,Both
80,OXEC-80,8.2,8.2,Both
3,OXEC-3,8.2,8.2,Both
239,OXEC-239,32.2,32.2,Not detected
79,OXEC-79,8.2,8.2,Both
2,OXEC-2,16.2,16.2,Both
322,OXEC-322,8.2,8.2,Both
1,OXEC-1,8.2,8.2,Both
75,OXEC-75,<=2.2,2.2,Both
449,OXEC-449,32.2,32.2,Both
194,OXEC-194,8.2,8.2,Both
193,OXEC-193,8.2,8.2,Both
73,OXEC-73,32.2,32.2,Both
324,OXEC-324,8.2,8.2,Both
191,OXEC-191,8.2,8.2,Both
385,OXEC-385,>32.2,32.2,Not detected
240,OXEC-240,32.2,32.2,Both
192,OXEC-192,>32.2,32.2,Both
386,OXEC-386,8.2,8.2,Both
189,OXEC-189,16.2,16.2,Both
190,OXEC-190,16.2,16.2,Both
188,OXEC-188,16.2,16.2,Both
301,OXEC-301,16.2,16.2,Not detected
241,OXEC-241,8.2,8.2,Both
387,OXEC-387,8.2,8.2,Both
64,OXEC-64,8.2,8.2,Both
110,OXEC-110,>32.2,32.2,Not detected
389,OXEC-389,16.2,16.2,Both
530,OXEC-530,16.2,16.2,Not detected
109,OXEC-109,16.2,16.2,Not detected
61,OXEC-61,4.2,4.2,Both
388,OXEC-388,16.2,16.2,Both
162,OXEC-162,32.2,32.2,Not detected
108,OXEC-108,4.2,4.2,Both
328,OXEC-328,8.2,8.2,Both
329,OXEC-329,>32.2,32.2,Not detected
107,OXEC-107,>32.2,32.2,Both
56,OXEC-56,8.2,8.2,Both
106,OXEC-106,32.2,32.2,Both
119,OXEC-119,16.2,16.2,Both
55,OXEC-55,16.2,16.2,Both
242,OXEC-242,8.2,8.2,Both
243,OXEC-243,8.2,8.2,Both
244,OXEC-244,8.2,8.2,Both
54,OXEC-54,16.2,16.2,Both
245,OXEC-245,16.2,16.2,Not detected
52,OXEC-52,4.2,4.2,Both
330,OXEC-330,32.2,32.2,Not detected
246,OXEC-246,8.2,8.2,Both
247,OXEC-247,8.2,8.2,Both
248,OXEC-248,8.2,8.2,Both
331,OXEC-331,32.2,32.2,Not detected
332,OXEC-332,8.2,8.2,Both
250,OXEC-250,16.2,16.2,Not detected
49,OXEC-49,32.2,32.2,Not detected
531,OXEC-531,16.2,16.2,Both
333,OXEC-333,8.2,8.2,Both
533,OXEC-533,8.2,8.2,Both
539,OXEC-539,>32.2,32.2,Not detected
252,OXEC-252,>32.2,32.2,Both
105,OXEC-105,8.2,8.2,Both
253,OXEC-253,32.2,32.2,Not detected
46,OXEC-46,8.2,8.2,Both
336,OXEC-336,32.2,32.2,Both
103,OXEC-103,4.2,4.2,Both
393,OXEC-393,16.2,16.2,Both
44,OXEC-44,8.2,8.2,Both
42,OXEC-42,>32.2,32.2,Both
41,OXEC-41,4.2,4.2,Both
370,OXEC-370,16.2,16.2,Both
39,OXEC-39,8.2,8.2,Both
296,OXEC-296,8.2,8.2,Both
371,OXEC-371,8.2,8.2,Both
117,OXEC-117,32.2,32.2,Both
480,OXEC-480,4.2,4.2,Both
339,OXEC-339,8.2,8.2,Both
340,OXEC-340,8.2,8.2,Plasmid only
255,OXEC-255,16.2,16.2,Not detected
396,OXEC-396,8.2,8.2,Both
341,OXEC-341,8.2,8.2,Both
492,OXEC-492,16.2,16.2,Not detected
35,OXEC-35,8.2,8.2,Both
34,OXEC-34,>32.2,32.2,Not detected
342,OXEC-342,8.2,8.2,Both
178,OXEC-178,8.2,8.2,Both
11,OXEC-11,32.2,32.2,Not detected
398,OXEC-398,8.2,8.2,Both
344,OXEC-344,8.2,8.2,Both
345,OXEC-345,8.2,8.2,Both
343,OXEC-343,>32.2,32.2,Both
474,OXEC-474,8.2,8.2,Both
256,OXEC-256,16.2,16.2,Both
257,OXEC-257,4.2,4.2,Both
99,OXEC-99,8.2,8.2,Both
177,OXEC-177,>32.2,32.2,Both
12,OXEC-12,8.2,8.2,Both
32,OXEC-32,32.2,32.2,Both
347,OXEC-347,32.2,32.2,Both
498,OXEC-498,8.2,8.2,Both
399,OXEC-399,16.2,16.2,Both
31,OXEC-31,>32.2,32.2,Both
29,OXEC-29,16.2,16.2,Both
30,OXEC-30,4.2,4.2,Both
28,OXEC-28,>32.2,32.2,Both
400,OXEC-400,16.2,16.2,Both
475,OXEC-475,8.2,8.2,Both
478,OXEC-478,8.2,8.2,Both
508,OXEC-508,32.2,32.2,Both
401,OXEC-401,32.2,32.2,Not detected
176,OXEC-176,16.2,16.2,Both
513,OXEC-513,8.2,8.2,Both
481,OXEC-481,8.2,8.2,Both
98,OXEC-98,>32.2,32.2,Both
499,OXEC-499,>32.2,32.2,Both
402,OXEC-402,>32.2,32.2,Not detected
175,OXEC-175,8.2,8.2,Both
403,OXEC-403,16.2,16.2,Both
22,OXEC-22,4.2,4.2,Both
404,OXEC-404,8.2,8.2,Both
23,OXEC-23,16.2,16.2,Both
