isolate.id,guuid,short.read.accession,long.read.accession,genome.assembly.accession
OXEC-1,0d88da70-e4de-4dd6-93f3-aba2ab0dacb0,SRR13993109,SRR30896465,CP163825-CP163828
OXEC-10,a749c9fa-eae3-46c4-9ff3-be3cee97a274,SRR25740780,SRR30896556,CP163811-CP163812
OXEC-100,bdada405-1cf9-4a03-9fe4-21f13a29541c,SRR25738375,SRR30896546,NA
OXEC-101,6f579d23-c636-41d4-af4e-2ca6dec6bc20,SRR25738520,SRR30896462,NA
OXEC-102,767a2f66-1b21-4e44-a8a5-267e909654f6,SRR25738261,SRR30896461,NA
OXEC-103,19ac1ef4-26a2-4f4a-a587-aab58c10b3a6,SRR25738086,SRR30896460,CP164008-CP164010
OXEC-104,7e0b88b2-806d-4a30-81d3-7cba737838c1,SRR25738092,SRR30896459,NA
OXEC-105,0756600d-3aaa-4e6d-903e-ca1013923338,SRR25738281,SRR30896458,CP164005-CP164007
OXEC-106,a03958f9-e325-4134-a499-c75ca1190cce,SRR25738399,SRR30896457,CP164003-CP164004
OXEC-107,ac23d0e8-78f2-4ad4-9d7f-160e4275b19b,SRR25738405,SRR30896456,CP163999-CP164002
OXEC-108,e6deba2d-2cda-4597-ab76-00a45c3f9142,SRR25738410,SRR30896455,CP163996-CP163998
OXEC-109,d8df0019-fd8d-4e23-a1ee-0219e878771d,SRR25738159,SRR30896454,CP163990-CP163995
OXEC-11,d80c2151-3d83-425f-98de-ecab98306efe,SRR25738225,SRR30896463,CP163807-CP163810
OXEC-110,17597a5b-feae-4bdc-a1db-4dac0b2c603c,SRR25738415,SRR30896453,CP163984-CP163989
OXEC-111,aae159a3-0dc4-4db6-b378-ad02a96bd446,SRR25738429,SRR30896451,CP163977-CP163983
OXEC-112,5d253cf9-8064-4d7e-b8f3-6d8e8cff0dc9,SRR25738057,SRR30896450,CP163976
OXEC-113,377cf2f4-f009-4ca1-be33-fef8776ae548,SRR25738175,SRR30896449,CP163971-CP163975
OXEC-114,e34a890d-869c-4704-bb1d-48541749afcd,SRR25738361,SRR30896448,NA
OXEC-115,b8765237-e7ed-4fe1-8cf0-c8c9aa676882,SRR25740574,SRR30896447,CP163969-CP163970
OXEC-116,cbf8a160-b33d-4a22-8862-7676337dcec9,SRR25740588,SRR30896446,CP163968
OXEC-117,3ace2797-1fa5-4c6d-990a-8aac23c9a112,SRR25738510,SRR30896445,CP163962-CP163967
OXEC-118,175db4fe-65a1-403d-9829-ba79f4acde2b,SRR25738100,SRR30896444,CP163957-CP163961
OXEC-119,ed8e9fc6-8186-48f9-91c0-f2f387442d75,SRR25738397,SRR30896443,CP163954-CP163956
OXEC-12,cb9a2550-b2e9-434b-a56a-a13f4bee35a3,SRR25738484,SRR30896452,CP163804-CP163806
OXEC-120,1088d896-99e3-41a9-97ea-cad622749474,SRR25740595,SRR30896442,CP163947-CP163953
OXEC-121,bab86340-145c-4f51-854d-5b12598019b8,SRR25740498,SRR30896440,CP165556-CP165560
OXEC-122,8a17cf78-c511-416e-a306-03e607fcee1c,SRR25740704,SRR30896439,CP163943-CP163946
OXEC-123,f6715c4a-8c79-4a74-96f9-b53448f56a8c,SRR25740442,SRR30896438,CP163939-CP163942
OXEC-124,0cfbfbe7-354a-4014-806c-bef148f3ff68,SRR25740717,SRR30896437,CP163931-CP163938
OXEC-125,6cb38a69-1245-4a44-b97a-2994ce7a7dbd,SRR25740580,SRR30896436,CP163928-CP163930
OXEC-126,805f4cc1-c4a3-4263-b658-f8504eb1ea5a,SRR25740582,SRR30896435,CP163926-CP163927
OXEC-127,e526985a-21d7-4752-ad9b-284768e4fd48,SRR13992603,SRR30896434,CP163919-CP163925
